Year,MakeDate,Month,Housetype,Active listing,Sales,Benchmark price,Average day on market,Bank of Canada Interest Rate,Interest Change,Adj Close,Close,High,Open,Low,Volume,Previous year listing,Previous year sales,Previous years Benchmark price,Previous year average day
2019,2/1/2019,2,D,5273,448,1443100,55,0.0175,0,15811.205335211,15811.205335211,15845.642115579,15796.478978368,15757.573807632,25021040526.3158,4700,621,1602000,44
2019,2/1/2019,2,T,1852,277,789300,39,0.0175,0,15811.205335211,15811.205335211,15845.642115579,15796.478978368,15757.573807632,25021040526.3158,1066,401,819200,27
2019,2/1/2019,2,A,4465,759,660300,40,0.0175,0,15811.205335211,15811.205335211,15845.642115579,15796.478978368,15757.573807632,25021040526.3158,1986,1185,682800,20
2019,1/1/2019,1,D,4974,339,1453400,64,0.0175,0,15031.886230364,15031.886230364,15059.504438864,14983.663662955,14935.681818273,23706268636.3636,4204,487,1601500,54
2019,1/1/2019,1,T,1719,205,800600,52,0.0175,0,15031.886230364,15031.886230364,15059.504438864,14983.663662955,14935.681818273,23706268636.3636,974,319,803700,30
2019,1/1/2019,1,A,4115,559,658600,47,0.0175,0,15031.886230364,15031.886230364,15059.504438864,14983.663662955,14935.681818273,23706268636.3636,1769,1012,665400,28
2018,12/1/2018,12,D,4925,348,1479000,56,0.0175,0,14546.799958842,14546.799958842,14690.973735632,14623.136821526,14486.705335211,27627666842.1053,4275,617,1605800,51
2018,12/1/2018,12,T,1579,189,809700,44,0.0175,0,14546.799958842,14546.799958842,14690.973735632,14623.136821526,14486.705335211,27627666842.1053,957,371,803700,24
2018,12/1/2018,12,A,3771,535,664100,41,0.0175,0,14546.799958842,14546.799958842,14690.973735632,14623.136821526,14486.705335211,27627666842.1053,1726,1028,655400,21
2018,11/1/2018,11,D,5787,516,1500100,55,0.0175,0,15144.004572091,15144.004572091,15197.886319227,15130.404607636,15070.672674,25368177272.7273,5299,841,1608000,43
2018,11/1/2018,11,T,1918,282,818500,40,0.0175,0,15144.004572091,15144.004572091,15197.886319227,15130.404607636,15070.672674,25368177272.7273,1224,446,805200,23
2018,11/1/2018,11,A,4602,810,667800,34,0.0175,0,15144.004572091,15144.004572091,15197.886319227,15130.404607636,15070.672674,25368177272.7273,2224,1508,648200,20
2018,10/1/2018,10,D,6208,637,1524000,53,0.0175,0.0025,15441.172673909,15441.172673909,15542.336337,15494.9545455,15377.286399045,27913133181.8182,5587,940,1609600,41
2018,10/1/2018,10,T,1991,344,829200,32,0.0175,0.0025,15441.172673909,15441.172673909,15542.336337,15494.9545455,15377.286399045,27913133181.8182,1228,550,802400,27
2018,10/1/2018,10,A,4785,985,683500,29,0.0175,0.0025,15441.172673909,15441.172673909,15542.336337,15494.9545455,15377.286399045,27913133181.8182,2322,1532,642000,20
2018,9/1/2018,9,D,6504,508,1540900,53,0.015,0,16125.610403,16125.610403,16183.168431316,16146.342105316,16087.273694474,25250305263.1579,5839,852,1617300,42
2018,9/1/2018,9,T,1963,275,837600,33,0.015,0,16125.610403,16125.610403,16183.168431316,16146.342105316,16087.273694474,25250305263.1579,1226,518,786600,24
2018,9/1/2018,9,A,4617,812,687300,32,0.015,0,16125.610403,16125.610403,16183.168431316,16146.342105316,16087.273694474,25250305263.1579,2401,1451,635800,22
2018,8/1/2018,8,D,6225,567,1561000,54,0.015,0,16332.427201727,16332.427201727,16391.831853727,16345.636230455,16287.681773818,19831091818.1818,5514,901,1615100,36
2018,8/1/2018,8,T,1740,337,846000,31,0.015,0,16332.427201727,16332.427201727,16391.831853727,16345.636230455,16287.681773818,19831091818.1818,1180,529,778300,20
2018,8/1/2018,8,A,3859,1025,695500,29,0.015,0,16332.427201727,16332.427201727,16391.831853727,16345.636230455,16287.681773818,19831091818.1818,2113,1613,626800,19
2018,7/1/2018,7,D,6425,637,1588400,47,0.015,0.0025,16432.561895429,16432.561895429,16473.876255476,16427.623884048,16380.714239238,16733440476.1905,5618,949,1612400,35
2018,7/1/2018,7,T,1753,354,856000,27,0.015,0.0025,16432.561895429,16432.561895429,16473.876255476,16427.623884048,16380.714239238,16733440476.1905,1210,543,763700,20
2018,7/1/2018,7,A,3959,1079,700500,24,0.015,0.0025,16432.561895429,16432.561895429,16473.876255476,16427.623884048,16380.714239238,16733440476.1905,2366,1468,616600,17
2018,6/1/2018,6,D,6555,766,1598200,38,0.0125,0,16253.252371667,16253.252371667,16300.143043143,16253.457217333,16206.371372714,21136381428.5714,5394,1320,1587900,30
2018,6/1/2018,6,T,1681,19,859800,22,0.0125,0,16253.252371667,16253.252371667,16300.143043143,16253.457217333,16206.371372714,21136381428.5714,1077,668,745700,21
2018,6/1/2018,6,A,3711,120,704200,21,0.0125,0,16253.252371667,16253.252371667,16300.143043143,16253.457217333,16206.371372714,21136381428.5714,2044,1905,600700,17
2018,5/1/2018,5,D,6316,926,1608000,38,0.0125,0,15964.399902318,15964.399902318,15998.5318715,15948.345348,15913.222789409,20569364545.4545,4989,1548,1561000,33
2018,5/1/2018,5,T,1544,476,859500,23,0.0125,0,15964.399902318,15964.399902318,15998.5318715,15948.345348,15913.222789409,20569364545.4545,1039,791,715400,23
2018,5/1/2018,5,A,3432,1431,701700,17,0.0125,0,15964.399902318,15964.399902318,15998.5318715,15948.345348,15913.222789409,20569364545.4545,2140,2025,571300,19
2018,4/1/2018,4,D,5736,807,1605800,37,0.0125,0,15380.423828238,15380.423828238,15441.033249571,15385.204706190,15325.843006095,19258722857.1429,4653,1211,1516500,40
2018,4/1/2018,4,T,1284,464,854200,23,0.0125,0,15380.423828238,15380.423828238,15441.033249571,15385.204706190,15325.843006095,19258722857.1429,1066,620,701800,24
2018,4/1/2018,4,A,2802,1308,701000,19,0.0125,0,15380.423828238,15380.423828238,15441.033249571,15385.204706190,15325.843006095,19258722857.1429,2094,1722,554100,19
2018,3/1/2018,3,D,5072,722,1608500,40,0.0125,0,15490.395182286,15490.395182286,15561.990513429,15500.728562095,15431.852353095,20593243809.5238,4404,1150,1489400,39
2018,3/1/2018,3,T,1118,446,835300,22,0.0125,0,15490.395182286,15490.395182286,15561.990513429,15500.728562095,15431.852353095,20593243809.5238,1018,588,685100,27
2018,3/1/2018,3,A,2190,1349,693500,18,0.0125,0,15490.395182286,15490.395182286,15561.990513429,15500.728562095,15431.852353095,20593243809.5238,2164,1841,537400,23
2018,2/1/2018,2,D,4700,621,1602000,44,0.0125,0,15430.631630316,15430.631630316,15531.30515,15454.194695632,15344.889442842,23415837894.7368,4310,745,1474200,41
2018,2/1/2018,2,T,1066,401,819200,27,0.0125,0,15430.631630316,15430.631630316,15531.30515,15454.194695632,15344.889442842,23415837894.7368,1031,404,675500,30
2018,2/1/2018,2,A,1986,1185,682800,20,0.0125,0,15430.631630316,15430.631630316,15531.30515,15454.194695632,15344.889442842,23415837894.7368,2253,1275,526300,24
