Month,Year,Housetype,Sales,Benchmark price,Close,Volume,Bank of Canada Target Overnight Rate,Births,Deaths,Immigrants,Emigrants,Returning emigrants
10,2015,D,1437,1197600,13751.94299,230453128.6,0.5,24134,14952,25159,9752,4911
10,2016,D,652,1545800,14718.1749,197534870,0.5,24077,15161,34750,9574,4942
10,2017,D,940,1609600,15825.97619,165845861.9,1,24544,16259,28023,8595,4647
10,2018,D,637,1524000,15441.17267,279131331.8,1.75,23993,16299,33295,7995,4360
10,2019,D,938,1410500,16403.16357,184524781.8,1.75,23780,16132,34562,6842,4432
10,2020,D,1335,1523800,16226.72387,211048366.7,0.25,23866,16474,36449,5335,6108
10,2021,D,1090,1850500,20777.575,213138835,0.25,23583,17885,28002,4249,948
9,2005,D,1413,557739,10917.81901,150087176.2,2.75,21756,13484,35990,9314,3656
9,2006,D,1034,659269,11769.53999,209688550,4.25,21892,13396,38296,9215,4517
9,2007,D,1099,737927,13863.9264,222450478.9,4.5,22530,13455,32245,9838,4252
9,2008,D,546,726331,12450.45708,309926471.4,3,23039,13810,36617,9449,3945
9,2009,D,1423,741632,11255.05236,215965004.8,0.25,23688,13492,35977,8334,3773
9,2010,D,866,790992,12163.83329,214157290.5,1,23586,13545,36850,8906,4270
9,2011,D,957,896701,12130.30957,243736204.8,1,23223,13564,32857,8783,3872
9,2012,D,594,935600,12285.60007,191711610.5,1,23339,13813,29630,9542,4251
9,2013,D,1023,922600,12818.93003,127793550,1,23969,13976,29822,9560,4087
9,2014,D,1270,990300,15353.49047,177950985.7,1,23681,14290,30466,9775,4347
9,2015,D,1272,1179700,13477.61435,212263461.9,0.5,24134,14952,25159,9752,4911
9,2016,D,666,1567500,14633.9667,208964919,0.5,24077,15161,34750,9574,4942
9,2017,D,852,1617300,15284.46001,193503000,1,24544,16259,28023,8595,4647
9,2018,D,508,1540900,16125.6104,252503052.6,1.5,23993,16299,33295,7995,4360
9,2019,D,745,1406200,16683.24531,234141550,1.75,23780,16132,34562,6842,4432
9,2020,D,1317,1507500,16234.7048,235095447.6,0.25,23866,16474,36449,5335,6108
9,2021,D,950,1828200,20510.93824,232076542.9,0.25,23583,17885,28002,4249,948
8,2005,D,1564,548809,10571.36825,128369750,2.5,21756,13484,35990,9314,3656
8,2006,D,1167,653616,12035.24099,167049486.4,4.25,21892,13396,38296,9215,4517
8,2007,D,1288,726067,13411.12717,214616559.1,4.5,22530,13455,32245,9838,4252
8,2008,D,535,737985,13364.13008,203548235,3,23039,13810,36617,9449,3945
8,2009,D,1367,732656,10816.36001,177113825,0.25,23688,13492,35977,8334,3773
8,2010,D,893,795076,11728.56176,186650361.9,0.75,23586,13545,36850,8906,4270
8,2011,D,1020,888243,12383.20455,252732877.3,1,23223,13564,32857,8783,3872
8,2012,D,624,942100,11921,137993904.5,1,23339,13813,29630,9542,4251
8,2013,D,1052,923700,12622.70001,119729328.6,1,23969,13976,29822,9560,4087
8,2014,D,1158,984300,15389.38003,136711630,1,23681,14290,30466,9775,4347
8,2015,D,1290,1159600,14010.42007,210363200,0.5,24134,14952,25159,9752,4911
8,2016,D,715,1577300,14680.81818,173085681.8,0.5,24077,15161,34750,9574,4942
8,2017,D,901,1615100,15108.95002,153166800,0.75,24544,16259,28023,8595,4647
8,2018,D,567,1561000,16332.4272,198310918.2,1.5,23993,16299,33295,7995,4360
8,2019,D,706,1406700,16243.06659,195463795.2,1.75,23780,16132,34562,6842,4432
8,2020,D,1095,1491300,16584.29004,199759780,0.25,23866,16474,36449,5335,6108
8,2021,D,945,1807100,20462.6143,178290823.8,0.25,23583,17885,28002,4249,948
7,2005,D,1438,539815,10247.47007,105842925,2.5,21756,13484,35990,9314,3656
7,2006,D,1031,644461,11658.64502,156834620,4.25,21892,13396,38296,9215,4517
7,2007,D,1483,714810,14196.76669,213051395.2,4.5,22530,13455,32245,9838,4252
7,2008,D,827,753165,13623.00901,232598495.5,3,23039,13810,36617,9449,3945
7,2009,D,1614,711702,10292.80926,171589472.7,0.25,23688,13492,35977,8334,3773
7,2010,D,908,793193,11558.59045,174158471.4,0.75,23586,13545,36850,8906,4270
7,2011,D,1099,898886,13295.15991,176445650,1,23223,13564,32857,8783,3872
7,2012,D,787,950222,11626.91439,154676133.3,1,23339,13813,29630,9542,4251
7,2013,D,1249,920500,12479.65914,25115568.18,1,23969,13976,29822,9560,4087
7,2014,D,1322,980500,15268.33634,151065722.7,1,23681,14290,30466,9775,4347
7,2015,D,1559,1141800,14436.42272,172930768.2,0.75,24134,14952,25159,9752,4911
7,2016,D,1077,1578300,14446.06499,193638010,0.5,24077,15161,34750,9574,4942
7,2017,D,949,1612400,15153.55,152854985,0.75,24544,16259,28023,8595,4647
7,2018,D,637,1588400,16432.5619,167334404.8,1.5,23993,16299,33295,7995,4360
7,2019,D,841,1417000,16515.04084,168734668.2,1.75,23780,16132,34562,6842,4432
7,2020,D,1121,1477800,15942.4818,194763659.1,0.25,23866,16474,36449,5335,6108
7,2021,D,1050,1801100,20165.29511,170390819,0.25,23583,17885,28002,4249,948
6,2005,D,1851,533095,9860.17729,118866386.4,2.5,21756,13484,35990,9314,3656
6,2006,D,1609,649048,11341.05913,171613045.5,4.25,21892,13396,38296,9215,4517
6,2007,D,1623,715715,13934.93345,222620738.1,4.25,22530,13455,32245,9838,4252
6,2008,D,918,765654,14718.77609,224197190.5,3,23039,13810,36617,9449,3945
6,2009,D,1667,701384,10372.29998,218151945.5,0.25,23688,13492,35977,8334,3773
6,2010,D,1139,795025,11680.17276,198242868.2,0.5,23586,13545,36850,8906,4270
6,2011,D,1471,901680,13126.10915,203981027.3,1,23223,13564,32857,8783,3872
6,2012,D,921,961600,11495.65244,195250181,1,23339,13813,29630,9542,4251
6,2013,D,1102,919900,12221.44502,1898260,1,23969,13976,29822,9560,4087
6,2014,D,1462,976700,14960.51432,161603500,1,23681,14290,30466,9775,4347
6,2015,D,1920,1123900,14835.91362,169358604.5,0.75,24134,14952,25159,9752,4911
6,2016,D,1562,1561500,14042.44092,237967027.3,0.5,24077,15161,34750,9574,4942
6,2017,D,1320,1587900,15308.82267,229315709.1,0.5,24544,16259,28023,8595,4647
6,2018,D,766,1598200,16253.25237,211363814.3,1.25,23993,16299,33295,7995,4360
6,2019,D,746,1423500,16322.64517,211161580,1.75,23780,16132,34562,6842,4432
6,2020,D,866,1464200,15480.88188,321071704.5,0.25,23866,16474,36449,5335,6108
